Grupo,Familia,Articulo
ALIMENTOS,ALIMENTOS ESPECIALES,MATERIA PRIMA PARA DESAYUNO COMIDA Y CENA -2211
ALIMENTOS,ALIMENTOS ESPECIALES,ELABORACION DE ALIMENTOS-2211
ALIMENTOS,ALIMENTOS ESPECIALES,PIZZA-2211
ALIMENTOS,ALIMENTOS ESPECIALES,LUNCH BOX-2211
ALIMENTOS,ALIMENTOS ESPECIALES,ALIMENTOS PARA PERSONAL DE SEGURIDAD PUBLICA
ALIMENTOS,ALIMENTOS ESPECIALES,PRODUCTOS ALIMENTICIOS PARA SERVIDORES PUBLICOS
ALIMENTOS,ALIMENTOS ESPECIALES,CONSUMO DE ALIMENTOS PARA SERVIDORES PUBLICOS 2214
ALIMENTOS,ALIMENTOS ESPECIALES,CONSUMO DE ALIMENTOS PARA SERVIDORES PUBLICOS 2216
ALIMENTOS,ALIMENTOS ESPECIALES,CONSUMO POR REUNIONES DE TRABAJO
ALIMENTOS,ALIMENTOS ESPECIALES,PAQUETE DE FRUTAS
ALIMENTOS,ALIMENTOS ESPECIALES,PULPA DE FRUTA COLADA PARA AGUA
ALIMENTOS,ALIMENTOS ESPECIALES,CHICHARRÓN EN SALSA VERDE
ALIMENTOS,ALIMENTOS ESPECIALES,TINGA DE RES Y CERDO
ALIMENTOS,ALIMENTOS ESPECIALES,POLLO COCIDO Y DESHEBRADO
ALIMENTOS,ALIMENTOS ESPECIALES,CARNE DESHEBRADA RES/CERDO
ALIMENTOS,ALIMENTOS ESPECIALES,VERDURAS SABOR CERDO
ALIMENTOS,ALIMENTOS ESPECIALES,VERDURAS SABOR RES
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO BALANCEADO
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO BALANCEADO PARA PERRO
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO PARA FELINOS
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO PARA AVES
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO PARA BOVINOS
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALFALFA
ALIMENTOS,ALIMENTOS PARA ANIMALES,SAL DE GRANO
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO BALANCEADO PARA PECES MARINOS
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO ORGANISMOS VIVOS PARA PECES MARINOS
ALIMENTOS,ALIMENTOS PARA ANIMALES,ARTEMIA SALINA PARA PECES MARINOS
ALIMENTOS,ALIMENTOS PARA ANIMALES,MICRO ALGAS PARA PECES MARINOS
ALIMENTOS,ALIMENTOS PARA ANIMALES,MAIZ
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO FRESCO PARA REPRODUCTORES DE CAMARON
ALIMENTOS,ALIMENTOS PARA ANIMALES,RASTROJO DE MAIZ MOLIDO CON GRANO DE MAIZ
ALIMENTOS,ALIMENTOS PARA ANIMALES,FLAKE DE ARTEMIA
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO PARA LARVA DE CAMARON EN EMULSION LIQUIDA
ALIMENTOS,ALIMENTOS PARA ANIMALES,QUISTE DE ARTEMIA ENLATADO
ALIMENTOS,ALIMENTOS PARA ANIMALES,TRATAMIENTO BIOLOGICO MICROBACTERIANO EN POLVO
ALIMENTOS,ALIMENTOS PARA ANIMALES,ENRIQUECEDOR PARA ARTEMIA Y ROTIFEROS A BASE DE ALGA
ALIMENTOS,ALIMENTOS PARA ANIMALES,ENRIQUECEDOR PARA ROTIFERO CON ALTO CONTENIDO
ALIMENTOS,ALIMENTOS PARA ANIMALES,ENRIQUECEDOR PARA ROTIFERO ORI GREEN EN POLVO
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO BALANCEADO 2213
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALFALFA 2213
ALIMENTOS,ALIMENTOS PARA ANIMALES,SAL DE GRANO 2213
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO BALANCEADO PARA PECES MARINOS 2213
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO ORGANISMOS VIVOS PARA PECES MARINOS 2213
ALIMENTOS,ALIMENTOS PARA ANIMALES,ARTEMIA SALINA PARA PECES MARINOS 2213
ALIMENTOS,ALIMENTOS PARA ANIMALES,MICRO ALGAS PARA PECES MARINOS 2213
ALIMENTOS,ALIMENTOS PARA ANIMALES,MAIZ 2213
